enc/utf16_be.c,enc/utf_16be.c
enc/utf16_le.c,enc/utf_16le.c
enc/utf32_be.c,enc/utf_32be.c
enc/utf32_le.c,enc/utf_32le.c
enc/utf8.c,enc/utf_8.c
enc/iso8859_1.c,enc/iso_8859_1.c
enc/iso8859_10.c,enc/iso_8859_10.c
enc/iso8859_11.c,enc/iso_8859_11.c
enc/iso8859_13.c,enc/iso_8859_13.c
enc/iso8859_14.c,enc/iso_8859_14.c
enc/iso8859_15.c,enc/iso_8859_15.c
enc/iso8859_16.c,enc/iso_8859_16.c
enc/iso8859_2.c,enc/iso_8859_2.c
enc/iso8859_3.c,enc/iso_8859_3.c
enc/iso8859_4.c,enc/iso_8859_4.c
enc/iso8859_5.c,enc/iso_8859_5.c
enc/iso8859_6.c,enc/iso_8859_6.c
enc/iso8859_7.c,enc/iso_8859_7.c
enc/iso8859_8.c,enc/iso_8859_8.c
enc/iso8859_9.c,enc/iso_8859_9.c
enc/sjis.c,enc/shift_jis.c
enc/unicode/case-folding.rb,tool/case-folding.rb,enc/unicode/case-folding.rb,tool/case-folding.rb
configure.in,configure.ac
onig-config.in,onigmo-config.in
oniguruma.h,onigmo.h
oniguruma.pc.in,onigmo.pc.in
onig.py,onigmo.py
oniggnu.h,onigmognu.h
onigposix.h,onigmoposix.h
win32/onig.rc,win32/onigmo.rc
