arch/ia64/sn/include/pci/pcibus_provider_defs.h,include/asm-ia64/sn/pcibus_provider_defs.h,arch/ia64/include/asm/sn/pcibus_provider_defs.h
arch/ia64/sn/include/pci/pcidev.h,include/asm-ia64/sn/pcidev.h,arch/ia64/include/asm/sn/pcidev.h
arch/um/kernel/sys_call_table.c,arch/um/sys-x86_64/sys_call_table.c
arch/um/util/mk_task_user.c,arch/um/util/mk_task.c
arch/um/drivers/slip_proto.h,arch/um/drivers/slip_common.h
Documentation/i2c/chips/smsc47b397.txt,Documentation/i2c/chips/smsc47b397,Documentation/hwmon/smsc47b397
include/linux/i2c-sysfs.h,include/linux/hwmon-sysfs.h
arch/ia64/sn/include/pci/pcibr_provider.h,include/asm-ia64/sn/pcibr_provider.h,arch/ia64/include/asm/sn/pcibr_provider.h
arch/ia64/sn/include/pci/pic.h,include/asm-ia64/sn/pic.h,arch/ia64/include/asm/sn/pic.h
arch/ia64/sn/include/pci/tiocp.h,include/asm-ia64/sn/tiocp.h,arch/ia64/include/asm/sn/tiocp.h
arch/arm/mach-omap/Makefile.boot,arch/arm/mach-omap1/Makefile.boot
arch/arm/mach-omap/fpga.c,arch/arm/mach-omap1/fpga.c
arch/arm/mach-omap/irq.c,arch/arm/mach-omap1/irq.c
arch/arm/mach-omap/time.c,arch/arm/mach-omap1/time.c
arch/arm/mach-omap/leds-h2p2-debug.c,arch/arm/mach-omap1/leds-h2p2-debug.c
arch/arm/mach-omap/leds-innovator.c,arch/arm/mach-omap1/leds-innovator.c
arch/arm/mach-omap/leds-osk.c,arch/arm/mach-omap1/leds-osk.c
arch/arm/mach-omap/leds.c,arch/arm/mach-omap1/leds.c
arch/arm/mach-omap/leds.h,arch/arm/mach-omap1/leds.h
arch/arm/mach-omap/board-generic.c,arch/arm/mach-omap1/board-generic.c
arch/arm/mach-omap/board-h2.c,arch/arm/mach-omap1/board-h2.c
arch/arm/mach-omap/board-h3.c,arch/arm/mach-omap1/board-h3.c
arch/arm/mach-omap/board-innovator.c,arch/arm/mach-omap1/board-innovator.c
arch/arm/mach-omap/board-netstar.c,arch/arm/mach-omap1/board-netstar.c
arch/arm/mach-omap/board-osk.c,arch/arm/mach-omap1/board-osk.c
arch/arm/mach-omap/board-perseus2.c,arch/arm/mach-omap1/board-perseus2.c
arch/arm/mach-omap/board-voiceblue.c,arch/arm/mach-omap1/board-voiceblue.c
arch/arm/mach-omap/clock.c,arch/arm/plat-omap/clock.c
arch/arm/mach-omap/clock.h,arch/arm/plat-omap/clock.h
arch/arm/plat-omap/common.h,include/asm-arm/arch-omap/common.h,arch/arm/plat-omap/include/mach/common.h,arch/arm/plat-omap/include/plat/common.h,arch/arm/plat-omap/common.h
drivers/i2c/chips/adm1021.c,drivers/hwmon/adm1021.c
drivers/i2c/chips/adm1025.c,drivers/hwmon/adm1025.c
drivers/i2c/chips/adm1026.c,drivers/hwmon/adm1026.c
drivers/i2c/chips/adm1031.c,drivers/hwmon/adm1031.c
