py/bc.c,py/vm.c
py/bc.h,py/vm.h,py/bc.h
py/main.c,unix/main.c,ports/unix/main.c
stm/mpyconfig.h,stm/mpconfig.h,stm/mpconfigport.h
unix/mpyconfig.h,unix/mpconfig.h,unix/mpconfigport.h,ports/unix/mpconfigport.h
unix/lexerunix.c,py/lexerunix.c
unix/lexerunix.h,py/lexerunix.h
py/nlrthumb.s,py/nlrthumb.S
py/nlrx64.s,py/nlrx64.S
py/nlrx86.s,py/nlrx86.S
py/misc.c,py/unicode.c
unix-cpy/mpconfig.h,unix-cpy/mpconfigport.h
tests/basics/tests/list3.py,tests/basics/tests/list_pop.py,tests/basics/list_pop.py
tests/basics/tests/list2.py,tests/basics/tests/list_sum.py,tests/basics/list_sum.py
stm/lexerstm.c,stm/lexerfatfs.c
teensy/lexerteensy.c,stm/lexerstr.c
teensy/lexerteensy.h,stm/lexerstr.h
tests/basics/tests/0prelim.py,tests/basics/0prelim.py
tests/basics/tests/builtin-len1.py,tests/basics/builtin-len1.py,tests/basics/builtin_len1.py
tests/basics/tests/class-subclass-builtin.py,tests/basics/class-subclass-builtin.py,tests/basics/class_subclass_builtin.py
tests/basics/tests/class1.py,tests/basics/class1.py
tests/basics/tests/class2.py,tests/basics/class2.py
tests/basics/tests/class3.py,tests/basics/class3.py
tests/basics/tests/class_inherit1.py,tests/basics/class_inherit1.py
tests/basics/tests/class_item.py,tests/basics/class_item.py
tests/basics/tests/class_number.py,tests/basics/class_number.py
tests/basics/tests/class_store.py,tests/basics/class_store.py
tests/basics/tests/closure1.py,tests/basics/closure1.py
tests/basics/tests/closure2.py,tests/basics/closure2.py
tests/basics/tests/comprehension1.py,tests/basics/comprehension1.py
tests/basics/tests/containment.py,tests/basics/containment.py
tests/basics/tests/dict1.py,tests/basics/dict1.py
tests/basics/tests/dict2.py,tests/basics/dict2.py
tests/basics/tests/dict_clear.py,tests/basics/dict_clear.py
tests/basics/tests/dict_copy.py,tests/basics/dict_copy.py
tests/basics/tests/dict_fromkeys.py,tests/basics/dict_fromkeys.py
tests/basics/tests/dict_get.py,tests/basics/dict_get.py
tests/basics/tests/dict_iterator.py,tests/basics/dict_iterator.py
tests/basics/tests/dict_pop.py,tests/basics/dict_pop.py
tests/basics/tests/dict_popitem.py,tests/basics/dict_popitem.py
tests/basics/tests/dict_setdefault.py,tests/basics/dict_setdefault.py
tests/basics/tests/dict_update.py,tests/basics/dict_update.py
tests/basics/tests/dict_views.py,tests/basics/dict_views.py
tests/basics/tests/enumerate.py,tests/basics/enumerate.py,tests/basics/builtin_enumerate.py
tests/basics/tests/eval1.py,tests/basics/eval1.py,tests/basics/builtin_eval.py
tests/basics/tests/exception1.py,tests/basics/exception1.py
tests/basics/tests/filter.py,tests/basics/filter.py,tests/basics/builtin_filter.py
tests/basics/tests/float1.py,tests/basics/float1.py,tests/float/float1.py
tests/basics/tests/for1.py,tests/basics/for1.py
tests/basics/tests/fun1.py,tests/basics/fun1.py
tests/basics/tests/fun2.py,tests/basics/fun2.py
tests/basics/tests/fun3.py,tests/basics/fun3.py
tests/basics/tests/generator1.py,tests/basics/generator1.py
tests/basics/tests/generator2.py,tests/basics/generator2.py
tests/basics/tests/import1a.py,tests/basics/import1a.py,tests/import/import1a.py
tests/basics/tests/import1b.py,tests/basics/import1b.py,tests/import/import1b.py
tests/basics/tests/int-small.py,tests/basics/int-small.py,tests/basics/int_small.py
tests/basics/tests/int1.py,tests/basics/int1.py
tests/basics/tests/is-isnot.py,tests/basics/is-isnot.py,tests/basics/is_isnot.py
tests/basics/tests/lambda1.py,tests/basics/lambda1.py
tests/basics/tests/list1.py,tests/basics/list1.py
tests/basics/tests/list_clear.py,tests/basics/list_clear.py
tests/basics/tests/list_compare.py,tests/basics/list_compare.py
tests/basics/tests/list_copy.py,tests/basics/list_copy.py
tests/basics/tests/list_count.py,tests/basics/list_count.py
tests/basics/tests/list_index.py,tests/basics/list_index.py
tests/basics/tests/list_insert.py,tests/basics/list_insert.py
