codemp/WinDed.vcxproj,codemp/dedicated.vcxproj,codemp/openjkded.vcxproj
codemp/game/JK2_game.vcxproj,codemp/game/game.vcxproj
codemp/ALut.lib,codemp/libs/win32/ALut.lib,lib/ALut.lib
codemp/OpenAL32.lib,codemp/libs/win32/OpenAL32.lib,lib/OpenAL32.lib
codemp/game/q_math.c,codemp/qcommon/q_math.c
codemp/game/q_shared.c,codemp/qcommon/q_shared.c
codemp/game/q_shared.h,codemp/qcommon/q_shared.h
base/ui/jamp/menudef.h,codemp/ui/menudef.h
codemp/win32/JK2game.rc,codemp/win32/cgame.rc
codemp/win32/WinDed.rc,codemp/win32/dedicated.rc,codemp/win32/openjkded.rc
codemp/win32/winquake.rc,codemp/win32/engine.rc,codemp/win32/openjk.rc
codemp/win32/JK2cgame.rc,codemp/win32/game.rc
codemp/win32/qe3.ico,codemp/win32/icon.ico
codemp/game/be_aas.h,codemp/botlib/be_aas.h
codemp/game/be_ai_char.h,codemp/botlib/be_ai_char.h
codemp/game/be_ai_chat.h,codemp/botlib/be_ai_chat.h
codemp/game/be_ai_gen.h,codemp/botlib/be_ai_gen.h
codemp/game/be_ai_goal.h,codemp/botlib/be_ai_goal.h
codemp/game/be_ai_move.h,codemp/botlib/be_ai_move.h
codemp/game/be_ai_weap.h,codemp/botlib/be_ai_weap.h
codemp/game/be_ea.h,codemp/botlib/be_ea.h
codemp/unix/unix_main.c,codemp/unix/unix_main.cpp,codemp/unix_ded/unix_main.cpp,codemp/sys/unix_main_ded.cpp
codemp/unix/unix_net.c,codemp/unix/unix_net.cpp,codemp/unix_ded/unix_net.cpp
codemp/unix/vm_x86.c,codemp/unix/vm_x86.cpp,codemp/unix_ded/vm_x86.cpp
codemp/unix/ftol.nasm,codemp/unix_ded/ftol.nasm
codemp/unix/linux_common.c,codemp/unix_ded/linux_common.c,codemp/sys/linux_common.c
codemp/unix/linux_glimp.c,codemp/unix_ded/linux_glimp.c
codemp/unix/linux_joystick.c,codemp/unix_ded/linux_joystick.c
codemp/unix/linux_local.h,codemp/unix_ded/linux_local.h,codemp/sys/linux_local.h
codemp/unix/linux_qgl.c,codemp/unix_ded/linux_qgl.c
codemp/unix/linux_snd.c,codemp/unix_ded/linux_snd.c
codemp/unix/makefile,codemp/unix_ded/makefile
