nuttx/configs/stm3240g-eval/src/up_leds.c,nuttx/configs/stm3240g-eval/src/up_autoleds.c
nuttx/drivers/pm/Make.defs,nuttx/drivers/power/Make.defs
nuttx/drivers/pm/pm_activity.c,nuttx/drivers/power/pm_activity.c
nuttx/drivers/pm/pm_changestate.c,nuttx/drivers/power/pm_changestate.c
nuttx/drivers/pm/pm_checkstate.c,nuttx/drivers/power/pm_checkstate.c
nuttx/drivers/pm/pm_initialize.c,nuttx/drivers/power/pm_initialize.c
nuttx/drivers/pm/pm_internal.h,nuttx/drivers/power/pm_internal.h
nuttx/drivers/pm/pm_register.c,nuttx/drivers/power/pm_register.c
nuttx/drivers/pm/pm_update.c,nuttx/drivers/power/pm_update.c
nuttx/include/nuttx/pm.h,nuttx/include/nuttx/power/pm.h
nuttx/drivers/usbdev/cdc_serial.c,nuttx/drivers/usbdev/cdcacm.c
nuttx/drivers/usbdev/cdc_serial.h,nuttx/drivers/usbdev/cdcacm.h
nuttx/drivers/usbdev/cdc_serdesc.c,nuttx/drivers/usbdev/cdcacm_descriptors.c,nuttx/drivers/usbdev/cdcacm_desc.c
nuttx/drivers/usbdev/usbdev_composite.h,nuttx/drivers/usbdev/composite.h
nuttx/drivers/usbdev/usbdev_storage.c,nuttx/drivers/usbdev/msc.c,nuttx/drivers/usbdev/usbmsc.c
nuttx/drivers/usbdev/usbdev_storage.h,nuttx/drivers/usbdev/msc.h,nuttx/drivers/usbdev/usbmsc.h
nuttx/drivers/usbdev/usbdev_stordesc.c,nuttx/drivers/usbdev/msc_descriptors.c,nuttx/drivers/usbdev/usbmsc_descriptors.c,nuttx/drivers/usbdev/usbmsc_desc.c
nuttx/drivers/usbdev/usbdev_scsi.c,nuttx/drivers/usbdev/msc_scsi.c,nuttx/drivers/usbdev/usbmsc_scsi.c
nuttx/drivers/usbdev/usbdev_serial.c,nuttx/drivers/usbdev/pl2303.c
nuttx/configs/ea3131/src/up_usbstrg.c,nuttx/configs/ea3131/src/up_usbmsc.c
nuttx/configs/ea3152/src/up_usbstrg.c,nuttx/configs/ea3152/src/up_usbmsc.c
nuttx/configs/hymini-stm32v/src/up_usbstrg.c,nuttx/configs/hymini-stm32v/src/up_usbmsc.c
nuttx/configs/kwikstik-k40/src/up_usbstrg.c,nuttx/configs/kwikstik-k40/src/up_usbmsc.c
nuttx/configs/lpcxpresso-lpc1768/src/up_usbstrg.c,nuttx/configs/lpcxpresso-lpc1768/src/up_usbmsc.c
nuttx/configs/mcu123-lpc214x/src/up_usbstrg.c,nuttx/configs/mcu123-lpc214x/src/up_usbmsc.c
nuttx/configs/nucleus2g/src/up_usbstrg.c,nuttx/configs/nucleus2g/src/up_usbmsc.c
