include/asm-i386/ppcboot-i386.h,include/asm-i386/u-boot-i386.h,arch/i386/include/asm/u-boot-i386.h,arch/x86/include/asm/u-boot-x86.h
cpu/xscale/Makefile,cpu/pxa/Makefile,arch/arm/cpu/pxa/Makefile
cpu/xscale/config.mk,cpu/pxa/config.mk,arch/arm/cpu/pxa/config.mk
cpu/xscale/cpu.c,cpu/pxa/cpu.c,arch/arm/cpu/pxa/cpu.c,arch/arm/cpu/pxa/pxa2xx.c
cpu/xscale/i2c.c,cpu/pxa/i2c.c,arch/arm/cpu/pxa/i2c.c,drivers/i2c/mv_i2c.c
cpu/xscale/interrupts.c,cpu/pxa/interrupts.c,cpu/pxa/timer.c,arch/arm/cpu/pxa/timer.c
cpu/xscale/serial.c,cpu/pxa/serial.c,drivers/serial/serial_pxa.c
cpu/xscale/start.S,cpu/pxa/start.S,arch/arm/cpu/pxa/start.S
include/asm-arm/arch-xscale/bitfield.h,include/asm-arm/arch-pxa/bitfield.h,arch/arm/include/asm/arch-pxa/bitfield.h
include/asm-arm/arch-xscale/hardware.h,include/asm-arm/arch-pxa/hardware.h,arch/arm/include/asm/arch-pxa/hardware.h
lib_i386/ic/sc520.c,cpu/i386/sc520.c,cpu/i386/sc520/sc520.c,arch/i386/cpu/sc520/sc520.c,arch/x86/cpu/sc520/sc520.c
lib_i386/ic/sc520_asm.S,cpu/i386/sc520_asm.S,cpu/i386/sc520/sc520_asm.S,arch/i386/cpu/sc520/sc520_asm.S
lib_i386/ic/ali512x.c,drivers/ali512x.c,drivers/misc/ali512x.c
cpu/mpc8xx/status_led.c,drivers/status_led.c,drivers/misc/status_led.c
cpu/mips/serial.c,cpu/mips/asc_serial.c,arch/mips/cpu/asc_serial.c,arch/mips/cpu/mips32/asc_serial.c,arch/mips/cpu/mips32/incaip/asc_serial.c
cpu/mips/serial.h,cpu/mips/asc_serial.h,arch/mips/cpu/asc_serial.h,arch/mips/cpu/mips32/asc_serial.h,arch/mips/cpu/mips32/incaip/asc_serial.h
board/dk1c20/flash.c,board/altera/common/flash.c
board/dk1c20/Makefile,board/altera/dk1c20/Makefile
board/dk1c20/config.mk,board/altera/dk1c20/config.mk
board/dk1c20/dk1c20.c,board/altera/dk1c20/dk1c20.c
board/dk1c20/u-boot.lds,board/altera/dk1c20/u-boot.lds
board/dk1c20/vectors.S,board/altera/dk1c20/vectors.S
cpu/coldfire/Makefile,cpu/mcf52x2/Makefile,arch/m68k/cpu/mcf52x2/Makefile
cpu/coldfire/config.mk,cpu/mcf52x2/config.mk,arch/m68k/cpu/mcf52x2/config.mk
cpu/coldfire/speed.c,cpu/mcf52x2/speed.c,arch/m68k/cpu/mcf52x2/speed.c
cpu/coldfire/fec.h,lib_m68k/cache.c,arch/m68k/lib/cache.c
include/configs/bms2003.h,include/configs/HMI10.h
board/kup4k/Makefile,board/kup/Makefile
board/kup4k/flash.c,board/kup/common/flash.c
board/kup4k/config.mk,board/kup/kup4k/config.mk
board/kup4k/kup4k.c,board/kup/kup4k/kup4k.c
board/kup4k/u-boot.lds,board/kup/kup4k/u-boot.lds
board/kup4k/u-boot.lds.debug,board/kup/kup4k/u-boot.lds.debug
include/configs/DUET_ADS.h,include/configs/MPC885ADS.h
cpu/mc9328/Makefile,board/mx1fs2/Makefile
cpu/mc9328/config.mk,board/scb9328/Makefile
cpu/arm920t/serial.c,cpu/arm920t/s3c24x0_serial.c,cpu/arm920t/s3c24x0/serial.c,drivers/serial/serial_s3c24x0.c
cpu/arm920t/speed.c,cpu/arm920t/s3c24x0_speed.c,cpu/arm920t/s3c24x0/speed.c,arch/arm/cpu/arm920t/s3c24x0/speed.c
cpu/at91rm9200/at45.c,board/at91rm9200dk/at45.c
cpu/arm920t/imx_generic.c,cpu/arm920t/imx/generic.c,arch/arm/cpu/arm920t/imx/generic.c
cpu/arm920t/imx_interrupts.c,cpu/arm920t/imx/interrupts.c,cpu/arm920t/imx/timer.c,arch/arm/cpu/arm920t/imx/timer.c
drivers/serial_imx.c,cpu/arm920t/imx/serial.c,drivers/serial/serial_imx.c
